商品名称,价格,地区,销量,评论数,商品链接,图片
官方旗舰朵唯S9全网通4G老年手机大字大声超长待机初高中小学生价百元便宜迷你儿童戒网瘾专用按键大屏老人机,72.00,广东,1000,207,https://detail.tmall.com/item.htm?id=675620751751&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2208246250990/O1CN01IqZq6t1JBSrRarzUI_!!0-item_pic.jpg
HONOR/荣耀畅玩20 4G手机5000mAh大电池6.5英寸高清护眼屏震撼大音量新款官方旗舰店官网正品学生备用老人机,899.00,广东,1000,2853,https://detail.tmall.com/item.htm?id=643615782418&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/1114511827/O1CN01Q7mvfD1PMoNWWbLJ1_!!2-item_pic.png
可减250元+选送手环】HONOR/荣耀X30 5G手机官方旗舰店正品新款全网通x30i学生官网直降x20荣耀x30,1239.00,广东,1000,2329,https://detail.tmall.com/item.htm?id=662599988492&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2024314280/O1CN01nd9CK91hUHvIC8aCs_!!0-item_pic.jpg
【30日20点抢五折 下单立减50】摩托罗拉 edge s pro 1亿像素 50X潜望式变焦144Hz OLED屏 骁龙870新品5G,1799.00,北京,1000,7711,https://detail.tmall.com/item.htm?id=651963710437&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2380534912/O1CN01gDmArc1m9kEv5t4GY_!!0-item_pic.jpg
【苏宁易购】关爱心T20手机4G全网通老年机超长待机大声音老年手机老人机手机大屏女按键诺基並老年1838,118.00,江苏,1000,1811,https://detail.tmall.com/item.htm?id=671320766365&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2616970884/O1CN012M87BK1IOurzLOuQy_!!0-item_pic.jpg
纽曼 L660老年手机翻盖手机移动联通电信版手机大字大声正品超长待机老年机大屏语音王军工4G全网通老人机,139.00,安徽,1000,12786,https://detail.tmall.com/item.htm?id=557603214362&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1969211639/O1CN01VZCQnp1NyhoyxYKrc_!!0-item_pic.jpg
当天发货【24期分期】HONOR/荣耀50 5G手机官方旗舰店正品系列v70新款60十直降pro曲面屏40官网SE全网通游戏,1639.00,广东,1000,4003,https://detail.tmall.com/item.htm?id=646131889766&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2215302589/O1CN01n1BkhM1UzoB4lQQzp_!!0-item_pic.jpg
当天发/分期免息 小米红米Note9 Pro 8+256GB 一亿像素5G手机120Hz高频骁龙750G小米官方旗舰正品店,1019.00,广东,1000,2838,https://detail.tmall.com/item.htm?id=634181776090&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/909410026/O1CN01QPTF2L1C3x0QoB7Jn_!!0-item_pic.jpg
【至高立减430】移动用户专享 HONOR/荣耀X30 5G手机 中国移动官旗骁龙大内存 新品新款游戏学生,1999.00,浙江,1000,463,https://detail.tmall.com/item.htm?id=665735013233&ns=1&abbucket=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1776456424/O1CN01lq0ecd1xKF5dnWMve_!!0-item_pic.jpg
Apple/苹果 iPhone 12 全新国行原装5G双卡双待苹果十二正品手机,4206.00,广东,1000,1485,https://item.taobao.com/item.htm?id=668500181608&ns=1&abbucket=1#detail,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1657186988/O1CN01ijTQ4h21UYS4FnOdU_!!1657186988.jpg
24期免息 顺丰当天发】荣耀X30 5G手机官方旗舰店官网正品新款直降全面屏66W快充智能游戏千元机华为,1389.00,北京,1000,1507,https://detail.tmall.com/item.htm?id=606458641072&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2924891464/O1CN01MIGibu1MgYbCtMXbl_!!0-item_pic.jpg
HONOR/荣耀 Magic3手机 骁龙888旗舰芯片 多主摄计算摄影 89°超曲屏官方旗舰店官网智能游戏拍照5G,4999.00,广东,1000,7157,https://detail.tmall.com/item.htm?id=652338994120&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/1114511827/O1CN01zCAFUj1PMoNNybog8_!!0-item_pic.jpg
【一亿像素】小米/Redmi note11 pro红米手机拍照智能全面屏一亿像素游戏学生家用办公天玑920,1599.00,北京,1000,1835,https://detail.tmall.com/item.htm?id=655396678406&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/1714128138/O1CN01gyYxHU29zFwkEysxV_!!0-item_pic.jpg
【至高立减200 会员赠耳机】vivo Y32智能游戏手机大内存电池 vivo官方旗舰店官网正品功能机学生机y32,1199.00,广东,1000,461,https://detail.tmall.com/item.htm?id=669531223201&ns=1&abbucket=1,https:https://picasso.alicdn.com/imgextra/O1CNA1pocov41K9v9Oo8oHT_!!2207440821122-0-psf.jpg
Apple/苹果 iPhone 13 国行13ProMax全新5G双卡mini迷你十三手机,4139.00,广东,1000,401,https://item.taobao.com/item.htm?id=673144347602&ns=1&abbucket=1#detail,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1650307795/O1CN015rDxZL27SA588fwaR_!!1650307795.jpg
【咨询优惠30】小米红米Redmi Note9 Pro手机5g全网通xiaomi小米官方旗舰店官网正品红米note9直降,1019.00,广东,1000,1535,https://detail.tmall.com/item.htm?id=633100163832&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2201491547305/O1CN01Mmdw9r23pjznANRxY_!!0-item_pic.jpg
OPPO A55s 5G拍照智能手机学生老人电竞游戏大内存 官方oppo旗舰店正品 a55s a53,1099.00,广东,1000,301,https://detail.tmall.com/item.htm?id=672820062017&ns=1&abbucket=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/901409638/O1CN014Y49gp2L4G2xZE2zq_!!0-item_pic.jpg
小米/Redmi 9A 5000mAh大电量屏幕游戏备用老年人手机xiaomi红米官方正品,599.00,浙江,1000,138,https://detail.tmall.com/item.htm?id=672524141786&ns=1&abbucket=1,https:https://picasso.alicdn.com/imgextra/O1CNA14c77882FLJ5v2wt8R_!!2213856588863-0-psf.jpg
官方旗舰店2022全新512g大内存5G智能手机正品i12Pro全网通千元百元老人机适用于华为荣耀oppo小米vivo耳机店,588.00,广东,1000,1365,https://detail.tmall.com/item.htm?id=670492081554&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2201820881943/O1CN01PHUmhS1QDwIt2ahac_!!0-item_pic.jpg
纽曼L6-4G全网通老人机超长待机正品直板按键老年手机大屏大字大声音功能备用电信版女学生专用非智能小,118.00,广东,1000,7202,https://detail.tmall.com/item.htm?id=651555840265&ns=1&abbucket=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/3357872061/O1CN017hM90m1R5z2eCIakK_!!0-item_pic.jpg
